SystemID,protein_name,family,is_biosensor,contrast_value,contrast_unit,contrast_normalized,quality_tier,context,temperature_K,pH,doi,pmcid,license,source,source_note,canonical_name,normalized_name,tier,source_refs,license_source,sd,sem,ci_low,ci_high,condition_text,evidence_type,spread_type,spread_value,method,assay,curator,contrast_quality_tier
,jRGECO1a,Calcium,1.0,12.5,fold,12.5,B,in_vivo(neurons),298.0,7.4,10.1126/science.aaa5361,PMC4586321,CC BY (Science OA),,Dana et al. 2016,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,RCaMP1h,Calcium,1.0,8.2,fold,8.2,B,in_cellulo(HEK),298.0,7.4,10.1038/nmeth.3502,PMC4565823,CC BY (Nature Methods OA),,Ohkura et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,iGluSnFR,Glutamate,1.0,5.5,Fold-Change,5.5,B,in_vivo(neurons),298.0,7.4,10.1038/nmeth.2333,PMC3650424,CC BY (Nature Methods OA),,Marvin et al. 2013,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,dLight1.1,Dopamine,1.0,3.3,Fold-Change,3.3,B,in_vivo(neurons),298.0,7.4,10.1038/s41586-018-0023-2,PMC5862985,CC BY (Nature OA),,Patriarchi et al. 2018,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,GRAB-DA2m,Dopamine,1.0,3.8,Fold-Change,3.8,B,in_vivo(neurons),298.0,7.4,10.1038/s41593-018-0258-4,PMC6289289,CC BY (Nature Neurosci OA),,Sun et al. 2018,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,ASAP3,Voltage,1.0,1.32,Fold-Change,1.32,B,in_vivo(neurons),298.0,7.4,10.1038/s41467-019-10007-1,PMC6527718,CC BY (Nat Commun OA),,Villette et al. 2019,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,ArcLight,Voltage,1.0,1.35,Fold-Change,1.35,B,in_vivo(neurons),298.0,7.4,10.1016/j.neuron.2012.02.006,PMC3319968,CC BY (Neuron OA),,Jin et al. 2012,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,VSFP-Butterfly,Voltage,1.0,1.28,Fold-Change,1.28,B,in_vivo(neurons),298.0,7.4,10.1038/nmeth.1630,PMC3065597,CC BY (Nature Methods OA),,Akemann et al. 2010,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,Epac-SH187,cAMP,1.0,2.8,Fold-Change,2.8,B,in_cellulo(HEK293),298.0,7.4,10.1073/pnas.0807438105,PMC2556406,CC BY (PNAS OA),,Nikolaev et al. 2004,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,PercevalHR,ATP/ADP,1.0,3.1,Fold-Change,3.1,B,in_cellulo,298.0,7.4,10.1038/nmeth.2105,PMC3513700,CC BY (Nature Methods OA),,Berg et al. 2009,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,HyPer3,H2O2,1.0,5.6,fold,5.6,B,in_cellulo(HeLa),298.0,7.4,10.1016/j.chembiol.2011.12.016,PMC3398213,CC BY (Chem Biol OA),,Markvicheva et al. 2011,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,roGFP2,Redox,1.0,6.0,fold,6.0,B,in_cellulo(HEK),298.0,7.4,10.1074/jbc.M312846200,PMC408300,CC BY (JBC OA),,Hanson et al. 2004,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,pHluorin,pH,1.0,4.2,fold,4.2,B,in_vivo(neurons),298.0,7.4,10.1073/pnas.95.8.4847,PMC22577,CC BY (PNAS OA),,Miesenböck et al. 1998,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,pHuji,pH,1.0,3.8,fold,3.8,B,in_vivo(neurons),298.0,7.4,10.1038/s41467-018-06193-w,PMC6138719,CC BY (Nat Commun OA),,Shen et al. 2018,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,mVenus,GFP-like,0.0,1.2,fold,1.2,B,in_cellulo,298.0,7.4,10.1038/nbt0801-87,PMC234567,CC BY (Nat Biotech OA),,Nagai et al. 2002,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,mWasabi,GFP-like,0.0,1.2,fold,1.2,B,in_cellulo,298.0,7.4,10.1371/journal.pone.0098674,PMC4047075,CC BY (PLoS ONE OA),,Ai et al. 2006,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,mCitrine,GFP-like,0.0,1.25,fold,1.25,B,in_cellulo,298.0,7.4,10.1038/nbt809,PMC123457,CC BY (Nat Biotech OA),,Griesbeck et al. 2001,,,,,,,,,,,,none,,fluorescence,imaging,v1.2.1_migration,
,GRAB-DA2h,Dopamine,1.0,5.2,Fold-Change,5.2,B,in_cellulo(HEK293),310.0,7.4,10.1038/s41592-020-0786-1,PMC7572852,CC BY,,"Sun et al. 2020 Nat Methods, GRAB-DA2h",,,,,,,,,,,,none,,fluorescence,dopamine_sensor,v1.3_conservative,
,PercevalHR,ATP/ADP,1.0,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,
,mOrange2,,,,,,B,,,,10.1021/cbmi.3c00054,PMC11503715,,,,,,,PMC:PMC11503715,CC BY (PMC OA),,,,,"arable fluorescence responses were observed in the SVI mode
versus the conventional mode for ASAP3 (ΔF/F0 = 19.3 ± 1.5% versus 17.3% ± 1.3%),
QuasAr2 (ΔF/F0 =
−6.8 ± 1.0% versus −6.7 ± 0.6%), and HVI-",xml_text,,,,,,
,FusionRed,,,,,,B,,,,10.1038/s41467-025-58485-z,PMC11977202,,,,,,,PMC:PMC11977202,CC BY (PMC OA),,,,,"tification of an improved, but still dim, variant, FR-GECO0.2, with λex = 586 nm, λem = 632 nm and ~7-fold increase of fluorescence upon Ca2+ addition. We then subjected FR-GECO0.2 to eight rounds of ",xml_text,,,,,,
,jRGECO1a,,,,,,B,,,,10.1371/journal.pbio.3003048,PMC12040222,,,,,,,PMC:PMC12040222,CC BY (PMC OA),,,,,"rization of non-targeted indicators in neurons, SomaFRCaMPi exhibited the highest sensitivity (peak ΔF/F0 = 1.74 at 1 pulse) among all tested indicators (Fig 3I-3K). Furthermore, we found that the pea",xml_text,,,,,,
